CASE_NO,APPLICATION_TYPE,DECISION_DATE,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS_1,EMPLOYER_ADDRESS_2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,BASIC_HOURS_PER_WEEK,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,ALIEN_WORK_STATE
"C-07074-05195","H-2A","04/10/07 16:00:00","Certified - Full","5/10/2007","5/9/2008","NAPA VALLEY LAMB CO.- CA","4925 SWAINSSONA DRIVE",,"LOVELAND","CO","80537",,"SHEEP HERDER",4.0000000000000000e+00,4.0000000000000000e+00,6.0000000000000000e+01,750.0000,"mth","CO"
"C-07074-05195","H-2A","04/10/07 16:00:00","Certified - Full","5/10/2007","5/9/2008","RAFTOPOULOS RANCHES","893 STOUT STREET",,"CRAIG","CO","81625",,"SHEEP HERDER",4.0000000000000000e+00,4.0000000000000000e+00,6.0000000000000000e+01,750.0000,"mth","CO"
"C-07074-05195","H-2A","04/10/07 16:00:00","Certified - Full","5/10/2007","2/3/2008","TOM THOMPSON","9230 RECTOR LEADER ROAD",,"BYERS","CO","80103-0000",,"SHEEP HERDER",1.0000000000000000e+00,1.0000000000000000e+00,6.0000000000000000e+01,750.0000,"mth","CO"
"C-07086-05319","H-2A","04/11/07 10:47:00","Certified - Full","5/10/2007","10/26/2007","SILVER SPRUCE PARTNERS LLC","30753 L ROAD",,"HOTCHKISS","CO","81419","DAVID DONALDSON (USAMEX LTD CO.)","FARMWORKER, FRUIT II",1.2000000000000000e+01,1.2000000000000000e+01,4.0000000000000000e+01,8.6400,"hr","CO"
"C-07074-05211","H-2A","04/16/07 11:52:00","Certified - Full","5/1/2007","10/15/2007","ARKANSAS VALLEY GROWERS","22161 ROAD CC",,"ROCKY FORD","CO","81067","DAVID DONALDSON (USAMEX LTD CO.)","FARMWORKER, DIVERSIFIED CROPS II",3.3000000000000000e+01,3.3000000000000000e+01,4.0000000000000000e+01,8.6400,"hr","CO"
"C-07064-05099","H-2A","04/24/07 11:43:00","Denied","4/20/2007","12/31/2007","M.T. SWANSON FARMS LLP","38724 CO RD T",,"WALSH","CO","81090","SOUTHERN IMPACT, LESLIE DOWNS & KRIS GOSNEY","FARMWORKER, DIVERSIFIED CROP I",2.0000000000000000e+00,,4.8000000000000000e+01,8.6400,"hr","CO"
"C-07086-05318","H-2A","04/13/07 11:38:00","Certified - Full","5/11/2007","9/15/2007","M&M GRAIN AND PRODUCE LLC","3501 COUNTY ROAD 53",,"CENTER","CO","81125","USAMEX - DAVID DONALDSON","FARMWORKER VEGETABLE II",1.7500000000000000e+02,1.7500000000000000e+02,4.0000000000000000e+01,8.6400,"hr","CO"
"C-07079-05248","H-2A","04/03/07 11:46:00","Certified - Full","5/4/2007","10/10/2007","NEW LEAF FRUIT, LLC","PO BOX 86",,"PLACERVILLE","CO","81430","DAVID DONALDSON (USAMEX LTD CO.)","FARMWORKER FRUIT II",8.0000000000000000e+00,8.0000000000000000e+00,4.0000000000000000e+01,8.6400,"hr","CO"
"A-07060-03391","H-2A","04/13/07 15:38:00","Certified - Full","5/10/2007","12/20/2007","WINDING BROOK TURF FARM","240 GRISWOLD ROAD",,"WETHERSFIELD","CT","06109","JOSEPH YOUNG","TRACTOR TRAILER DRIVER",2.0000000000000000e+00,2.0000000000000000e+00,4.4000000000000000e+01,9.1600,"hr","CT"
"A-07074-03562","H-2A","04/04/07 12:05:00","Certified - Full","5/2/2007","11/1/2007","ALTADIS SHADE COMPANY LLC","217 SHAKER ROAD",,"SOMERS","CT","06071-1449","NEW ENGLAND APPLE COUNCIL, JOSEPHY YOUNG","SHED BOSS",4.0000000000000000e+00,4.0000000000000000e+00,4.8000000000000000e+01,9.5000,"hr","CT"
"A-07081-03623","H-2A","04/11/07 08:34:00","Certified - Full","5/9/2007","11/15/2007","J.W. ANDERSON & SONS","165 BROAD STREET",,"WETHERSFIELD","CT","06109-3107","JOSEPH YOUNG","FARMWORKER, VEGETABLE I",1.0000000000000000e+00,1.0000000000000000e+00,4.8000000000000000e+01,9.5000,"hr","CT"
"A-07092-03726","H-2A","04/19/07 14:15:00","Certified - Full","5/17/2007","10/21/2007","FARM FOURTEEN","143 FOUR BRIDGES RD",,"SOMERS","CT","06071","JOSEPH YOUNG","FARM WORKER; DIVERSIFIED CROPS II",2.0000000000000000e+00,2.0000000000000000e+00,4.0000000000000000e+01,9.5000,"hr","CT"
"A-07065-03445","H-2A","04/03/07 10:50:00","Certified - Full","4/20/2007","10/28/2007","MARCH FARM","160 MUNGER LANE",,"BETHLEHEM","CT","06751","JOSEPH YOUNG","FARM WORKER; DIVERSIFIED CROPS II",1.0000000000000000e+00,1.0000000000000000e+00,4.0000000000000000e+01,9.5000,"hr","CT"
"A-07096-03785","H-2A","04/26/07 11:45:00","Certified - Full","5/25/2007","11/15/2007","CONNECTICUT VALLEY ORCHARDS","274 KELSEY HILL RD",,"DEEP RIVER","CT","06417","JOSEPH YOUNG, EXECUTIVE DIRECTOR","FARM WORKER; DIVERSIFIED CROPS II",1.0000000000000000e+00,1.0000000000000000e+00,4.0000000000000000e+01,9.5000,"hr","CT"
"A-07074-03571","H-2A","04/02/07 16:29:00","Certified - Full","5/2/2007","11/1/2007","ALTADIS SHADE COMPANY LLC","217 SHAKER ROAD",,"SOMERS","CT","06071-1449","NEW ENGLAND APPLE COUNCIL, JOSEPH YOUNG","FARM WORKER FIELD CROP I",2.1000000000000000e+01,2.1000000000000000e+01,4.8000000000000000e+01,9.5000,"hr","CT"
"A-07074-03560","H-2A","04/04/07 12:39:00","Certified - Full","5/2/2007","11/1/2007","ALTADIS SHADE COMPANY LLC","217 SHAKER ROAD",,"SOMERS","CT","06071-1449","NEW ENGLAND APPLE COUNCIL, JOSEPH YOUNG","FARM EQUIPMENT MECHANIC I",1.0000000000000000e+00,1.0000000000000000e+00,4.8000000000000000e+01,9.5000,"hr","CT"
"A-07088-03702","H-2A","04/03/07 14:58:00","Certified - Full","4/16/2007","7/1/2007","SORRELLS BROTHERS PACKING","P.O. BOX 551",,"ARCADIA","FL","34265",,"HARVEST WORKER, FRUIT",4.0000000000000000e+01,4.0000000000000000e+01,3.6000000000000000e+01,8.5600,"hr","FL"
"A-07074-03569","H-2A","04/06/07 14:00:00","Certified - Full","5/4/2007","11/25/2007","B&B MANAGEMENT, LLC","3847 VADA ROAD",,"BAINBRIDGE","GA","39817","AGWORKS,  INC.","HARVEST WORKER, VEGETABLE",3.0000000000000000e+01,3.0000000000000000e+01,4.0000000000000000e+01,8.5100,"hr","GA"
"A-07088-03701","H-2A","04/25/07 12:03:00","Certified - Full","5/20/2007","11/1/2007","BURTS FARM, LLC","4801 HWY 52",,"DAWSONVILLE","GA","30534","ILMC - CRAIG S. EURY, JR.","FARMWORKER, DIVERSIFIED CROP",1.0000000000000000e+01,1.0000000000000000e+01,4.0000000000000000e+01,8.5100,"hr","GA"
"A-07072-03531","H-2A","04/11/07 08:16:00","Certified - Full","5/5/2007","7/1/2007","EDR FARMS, INC.","1195 SARDIS CHURCH ROAD",,"LAKE PARK","GA","31636","AGWORKS,  INC.","FARMWORKER , VEGETABLE II",5.6000000000000000e+01,5.6000000000000000e+01,4.0000000000000000e+01,8.5100,"hr","GA"
"A-07092-03720","H-2A","04/20/07 10:57:00","Certified - Full","5/22/2007","7/18/2007","R&S FARM","4238 PEARCE ROAD",,"PITTS","GA","31072","AGWORKS,  INC.","FARMWORKER",5.2000000000000000e+01,5.2000000000000000e+01,4.0000000000000000e+01,8.5100,"hr","GA"
"A-07074-03568","H-2A","04/12/07 10:46:00","Certified - Full","5/12/2007","12/14/2007","MARIA Q. PEREZ & COMPANY","P.O.BOX 871",,"LYONS","GA","30436","TODD MILLER","FARM WORKER, DIVERSIFIED CROPS II",3.7000000000000000e+01,3.7000000000000000e+01,4.0000000000000000e+01,8.5100,"hr","GA"
"C-07067-05135","H-2A","04/19/07 10:37:00","Certified - Full","4/24/2007","2/24/2008","KONA COLD FISH PROCESSORS","73-4460 QUEEN KAAHUMANU HWY #103",,"KAILUA-KONA","HI","96740",,"FISH PACKER & PROCESSOR",4.0000000000000000e+00,4.0000000000000000e+00,4.0000000000000000e+01,10.3200,"hr","HI"
"C-07081-05278","H-2A","04/11/07 11:00:00","Certified - Full","5/7/2007","8/5/2007","BELLS MELONS & TOM BELLS DETASSELING #1","6963 WAPSI AVE. SE",,"LONE TREE","IA","52755","CRAIG S. EURY, JR., PRESIDENT","FARMWORKER, DIVERSIFED CROP I",1.2000000000000000e+02,1.2000000000000000e+02,4.0000000000000000e+01,9.9500,"hr","IA"
"C-07081-05279","H-2A","04/11/07 11:02:00","Certified - Full","5/7/2007","9/15/2007","BELLS MELONS & TOM BELLS DETASSELING #2","6963 WAPSI AVE. SE",,"LONE TREE","IA","52755","CRAIG S. EURY, JR., PRESIDENT","FARMWORKER, DIVERSIFED CROP I",6.8000000000000000e+01,6.8000000000000000e+01,4.0000000000000000e+01,9.9500,"hr","IA"
"C-07072-05170","H-2A","04/23/07 11:57:00","Certified - Full","4/27/2007","12/15/2007","PETERSON FARMS","8722 490TH ST.",,"RAKE","IA","50465","ELAINE FLAMING, AGRI PLACEMENTS INT'L","FARMWORKER GENERAL I",2.0000000000000000e+00,2.0000000000000000e+00,4.8000000000000000e+01,9.9500,"hr","IA"
"C-07074-05195","H-2A","04/10/07 16:00:00","Certified - Full","5/10/2007","5/9/2008","FRANK SHIRTS","BOX 393",,"WILDER","ID","83676",,"SHEEP HERDER",1.6000000000000000e+01,1.6000000000000000e+01,6.0000000000000000e+01,750.0000,"mth","ID"
"C-07074-05195","H-2A","04/10/07 16:00:00","Certified - Full","5/10/2007","5/9/2008","SOULEN LIVESTOCK COMPANY","1760 FAIRMONT DR.",,"WEISER","ID","83672",,"SHEEP HERDER",2.0000000000000000e+00,2.0000000000000000e+00,6.0000000000000000e+01,750.0000,"mth","ID"
"C-07074-05195","H-2A","04/10/07 16:00:00","Certified - Full","5/10/2007","5/9/2008","C. D. RANCHES","PO BOX 245",,"RUPERT","ID","83350",,"SHEEP HERDER",2.0000000000000000e+00,2.0000000000000000e+00,6.0000000000000000e+01,750.0000,"mth","ID"
"C-07074-05195","H-2A","04/10/07 16:00:00","Certified - Full","5/10/2007","5/9/2008","PICKETT RANCH & SHEEP COMPANY","1650 SOUTH  570 WEST",,"OAKLEY","ID","83346-0000",,"SHEEP HERDER",1.0000000000000000e+00,1.0000000000000000e+00,6.0000000000000000e+01,750.0000,"mth","ID"
"C-07074-05195","H-2A","04/10/07 16:00:00","Certified - Full","5/10/2007","5/9/2008","BALL BROTHERS SHEEP COMPANY","P.O. BOX 69",,"LEWISVILLE","ID","83431",,"SHEEP HERDER",6.0000000000000000e+00,6.0000000000000000e+00,6.0000000000000000e+01,750.0000,"mth","ID"
"C-07074-05195","H-2A","04/10/07 16:00:00","Certified - Full","5/10/2007","1/6/2008","ETCHEVERRY SHEEP CO","P.O. BOX 427",,"LAVA HOT SPRINGS","ID","83246-0000",,"SHEEP HERDER",1.0000000000000000e+00,1.0000000000000000e+00,6.0000000000000000e+01,750.0000,"mth","ID"
"C-07074-05195","H-2A","04/10/07 16:00:00","Certified - Full","5/10/2007","5/9/2008","NOH SHEEP COMPANY","3442 ADDISON AVENUE  EAST",,"KIMBERLY","ID","83341",,"SHEEP HERDER",1.0000000000000000e+00,1.0000000000000000e+00,6.0000000000000000e+01,750.0000,"mth","ID"
"C-07074-05195","H-2A","04/10/07 16:00:00","Certified - Full","5/10/2007","5/9/2008","W. N. BRAILSFORD/W.S.BRAILSFORD / FLYING TRIANGLE, INC.","P.O. BOX 180",,"HAGERMAN","ID","83332",,"SHEEP HERDER",1.0000000000000000e+00,1.0000000000000000e+00,6.0000000000000000e+01,750.0000,"mth","ID"
"C-07074-05195","H-2A","04/10/07 16:00:00","Certified - Full","5/10/2007","5/9/2008","FAULKNER LAND AND LVST.","1989 SOUTH 1875 EAST",,"GOODING","ID","83330",,"SHEEP HERDER",3.0000000000000000e+00,3.0000000000000000e+00,6.0000000000000000e+01,750.0000,"mth","ID"
"C-07074-05195","H-2A","04/10/07 16:00:00","Certified - Full","5/10/2007","5/9/2008","GUERRY INCORPORATED","P.O. BOX 687",,"CASTLEFORD","ID","83321-0000",,"SHEEP HERDER",1.0000000000000000e+00,1.0000000000000000e+00,6.0000000000000000e+01,750.0000,"mth","ID"
"C-07074-05195","H-2A","04/10/07 16:00:00","Certified - Full","5/10/2007","5/9/2008","FLAT TOP SHEEP COMPANY","P.O. BOX 88",,"CAREY","ID","83320-0000",,"SHEEP HERDER",4.0000000000000000e+00,4.0000000000000000e+00,6.0000000000000000e+01,750.0000,"mth","ID"
"C-07074-05195","H-2A","04/10/07 16:00:00","Certified - Full","5/10/2007","5/9/2008","CENARRUSA FARM","P O BOX 65",,"CAREY","ID","83320",,"SHEEP HERDER",2.0000000000000000e+00,2.0000000000000000e+00,6.0000000000000000e+01,750.0000,"mth","ID"
"C-07037-04676","H-2A","04/24/07 12:07:00","Denied","3/22/2007","9/1/2007","STANDLEE HAY COMPANY INC.","826 SOUTH 1700 EAST",,"EDEN","ID","83325","SNAKE RIVER FARMERS ASSOCIATION","PRODUCTION WORKER",7.0000000000000000e+00,,7.2000000000000000e+01,8.4700,"hr","ID"
"C-07078-05230","H-2A","04/26/07 16:22:00","Certified - Full","5/15/2007","11/15/2007","RICHARD B. VAN DYK (VAN DYK DAIRY)","2343 EAST 3100 SOUTH",,"WENDELL","ID","83355",,"IRRIGATOR, SPRINKLING SYSTEM",1.0000000000000000e+00,1.0000000000000000e+00,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07082-05295","H-2A","04/05/07 18:51:00","Certified - Full","4/15/2007","11/1/2007","SCOTT WOOD (ROBERT SCOTT WOOD FARMS)","2372 N 8000 E",,"TETON","ID","83451",,"IRRIGATOR, SPRINKLING SYSTEM",1.0000000000000000e+00,1.0000000000000000e+00,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07082-05295","H-2A","04/05/07 18:51:00","Certified - Full","4/15/2007","11/1/2007","WADE WARD (WARD BROS. INC)","3456 NORTH 5000 EAST",,"SUGAR CITY","ID","83448",,"IRRIGATOR, SPRINKLING SYSTEM",1.0000000000000000e+00,1.0000000000000000e+00,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07082-05288","H-2A","04/04/07 16:46:00","Certified - Full","4/15/2007","11/1/2007","KRIS KELLEY (KELLEY & SONS)","550 EAST 1500 NORTH",,"SHELLEY","ID","83274","SNAKE RIVER FARMERS ASSOCIATION","IRRIGATOR, SPRINKLING SYSTEM",1.0000000000000000e+01,1.0000000000000000e+01,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07082-05295","H-2A","04/05/07 18:51:00","Certified - Full","4/15/2007","11/1/2007","NIKOS MONOYOIS (EAGLE VALLEY RANCH, LLC)","446 BOHANNON CREEK RD",,"SALMON","ID","83467",,"IRRIGATOR, SPRINKLING SYSTEM",2.0000000000000000e+00,2.0000000000000000e+00,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07100-05428","H-2A","04/13/07 13:47:00","Certified - Full","4/15/2007","11/1/2007","NATHAN SCHROEDER (N & M FARMS)","2098 MICHAUD CREEK ROAD",,"POCATELLO","ID","83204","SNAKE RIVER FARMERS ASSOCIATION","IRRIGATOR, SPRINKLING SYSTEM",4.0000000000000000e+00,4.0000000000000000e+00,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07078-05230","H-2A","04/26/07 16:22:00","Certified - Full","5/15/2007","11/15/2007","RUSSELL & GARY JOHNSON (CEDAR MTN FARMS)","13104 W TYHEE RD",,"POCATELLO","ID","83202",,"IRRIGATOR, SPRINKLING SYSTEM",1.0000000000000000e+00,1.0000000000000000e+00,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07078-05230","H-2A","04/26/07 16:22:00","Certified - Full","5/15/2007","11/15/2007","VAL C CARTER (V-HORSESHOE RANCH)","1025 S 1500 W",,"PINGREE","ID","83262","SNAKE RIVER FARMERS ASSOCIATION","IRRIGATOR, SPRINKLING SYSTEM",1.2000000000000000e+01,1.2000000000000000e+01,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07078-05230","H-2A","04/26/07 16:22:00","Certified - Full","5/15/2007","11/15/2007","RHETT WATSON (RHETT WATSON FARMS, INC)","PO BOX 12",,"MENAN","ID","83434",,"IRRIGATOR, SPRINKLING SYSTEM",2.0000000000000000e+00,2.0000000000000000e+00,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07092-05350","H-2A","04/30/07 16:55:00","Certified - Full","6/1/2007","11/1/2007","DAVID & JOHN ELLSWORTH (ELLSWORTH FARMS)","3365 EAST 500 NORTH",,"LEWISVILLE","ID","83431","SNAKE RIVER FARMERS ASSOCIATION","IRRIGATOR, SPRINKLING SYSTEM",2.0000000000000000e+00,2.0000000000000000e+00,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07089-05339","H-2A","04/13/07 10:45:00","Certified - Full","5/1/2007","10/1/2007","BLAIR CROUCH (MULDOON RANCH CO. LLC)","PO BOX 43",,"JEROME","ID","83338","SNAKE RIVER FARMERS ASSOCIATION","IRRIGATOR, SPRINKLING SYSTEM",2.0000000000000000e+00,2.0000000000000000e+00,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07078-05230","H-2A","04/26/07 16:22:00","Certified - Full","5/15/2007","11/15/2007","MIKE SOBOTKA (SOBOTKA FARMS)","107 S 300 E",,"JEROME","ID","83338",,"IRRIGATOR, SPRINKLING SYSTEM",2.0000000000000000e+00,2.0000000000000000e+00,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07078-05223","H-2A","04/13/07 10:39:00","Certified - Full","5/15/2007","11/15/2007","RISENMAY FARMS INC","4 N 3100 E",,"IDAHO FALLS","ID","83402","SNAKE RIVER FARMERS ACCOCIATION","IRRIGATOR, SPRINKLING SYSTEM",3.0000000000000000e+00,3.0000000000000000e+00,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07082-05295","H-2A","04/05/07 18:51:00","Certified - Full","4/15/2007","11/1/2007","MARK & AMY MUNSEE (MARK MUNSEE FARM)","588 SOUTH 2300 EAST",,"HAZELTON","ID","83335",,"IRRIGATOR, SPRINKLING SYSTEM",1.0000000000000000e+00,1.0000000000000000e+00,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07082-05295","H-2A","04/05/07 18:51:00","Certified - Full","4/15/2007","11/1/2007","MARK HENSLEE (SALMON FALLS LAND & LIVESTOCK)","123 BELL RAPIDS RD",,"HAGERMAN","ID","83332",,"IRRIGATOR, SPRINKLING SYSTEM",3.0000000000000000e+00,3.0000000000000000e+00,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07078-05230","H-2A","04/26/07 16:22:00","Certified - Full","5/15/2007","11/15/2007","MARK NOBLE (FARM DEVELOPMENT CORP)","PO BOX 849",,"GLENNS FERRY","ID","83623",,"IRRIGATOR, SPRINKLING SYSTEM",5.0000000000000000e+00,5.0000000000000000e+00,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07082-05295","H-2A","04/05/07 18:51:00","Certified - Full","4/15/2007","11/1/2007","HEBER STOKES (UNIVERSITY OF IDAHO)","16 HOT SPRINGS RANCH RD",,"CARMEN","ID","83467",,"IRRIGATOR, SPRINKLING SYSTEM",2.0000000000000000e+00,2.0000000000000000e+00,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07082-05295","H-2A","04/05/07 18:51:00","Certified - Full","4/15/2007","11/1/2007","JAYDELL & JOHN BUXTON (WESTSIDE SOD FARM)","256 SOUTH 500 WEST",,"DRIGGS","ID","83422","SNAKE RIVER FARMERS ASSOCIATION","IRRIGATOR, SPRINKLING SYSTEM",1.6000000000000000e+01,1.6000000000000000e+01,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07082-05295","H-2A","04/05/07 18:51:00","Certified - Full","4/15/2007","11/1/2007","DON & KRISTI SCHIERMEIER (SCHIERMEIER FARMS)","29393 DAVIS RD",,"BRUNEAU","ID","83604",,"IRRIGATOR, SPRINKLING SYSTEM",1.0000000000000000e+00,1.0000000000000000e+00,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07082-05295","H-2A","04/05/07 18:51:00","Certified - Full","4/15/2007","11/1/2007","DALE EVANS (DALE EVANS DAIRY)","PO BOX 34",,"ARIMO","ID","83214",,"IRRIGATOR, SPRINKLING SYSTEM",1.0000000000000000e+00,1.0000000000000000e+00,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07082-05295","H-2A","04/05/07 18:51:00","Certified - Full","4/15/2007","11/1/2007","RUSSELL FEHRINGER (FEHRINGER FARMS)","2643 LAKEVIEW RD",,"AMERICAN FALLS","ID","83211",,"IRRIGATOR, SPRINKLING SYSTEM",1.0000000000000000e+00,1.0000000000000000e+00,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07095-05386","H-2A","04/18/07 15:24:00","Certified - Full","5/20/2007","11/15/2007","WISSEL BROTHERS CORPORATION","11085 LAKE LOWELL AVE",,"NAMPA","ID","83686",,"FARMWORKER, VEGETABLE II",4.0000000000000000e+00,4.0000000000000000e+00,6.0000000000000000e+01,8.7600,"hr","ID"
"C-07079-05244","H-2A","04/04/07 17:10:00","Certified - Full","5/4/2007","10/15/2007","ROBERT GRANT JR. (GRANT FARMS)","249 SOUTH 1500 EAST",,"JEROME","ID","83338","SNAKE RIVER FARMERS ASSOCIATION","FARMWORKER GENERAL I",1.0000000000000000e+00,1.0000000000000000e+00,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07078-05229","H-2A","04/13/07 13:40:00","Certified - Full","5/15/2007","11/1/2007","MIKE FUNKHOUSER","PO BOX 16",,"FAIRFIELD","ID","83327","SNAKE RIVER FARMERS ASSOCIATION","FARMWORKER GENERAL I",2.0000000000000000e+00,2.0000000000000000e+00,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07101-05434","H-2A","04/26/07 10:48:00","Certified - Full","5/1/2007","11/1/2007","RALPH ISOM (RALPH ISOM FARMS)","5584 WEST 33RD NORTH",,"IDAHO FALLS","ID","83402","SNAKE RIVER FARMERS ASSOCIATION","FARM WORKER, GENERAL I",1.2000000000000000e+01,1.2000000000000000e+01,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07058-05006","H-2A","04/17/07 14:54:00","Certified - Full","5/1/2007","11/15/2007","LAZY R FARMS","241 N 400 W",,"JEROME","ID","83338","SOUTHERN IMPACT, LESLIE DOWNS & KRIS GOSNEY","FARM WORKER GRAIN I",4.0000000000000000e+00,4.0000000000000000e+00,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07089-05342","H-2A","04/13/07 16:14:00","Certified - Full","5/15/2007","11/15/2007","GREG & LISA CALLEN (GREG CALLEN FARMING, INC.)","500 SOUTH 376 WEST",,"JEROME","ID","83338","SNAKE RIVER FARMERS ASSOCIATION","FARM WORKER GENERAL I",4.0000000000000000e+00,4.0000000000000000e+00,4.8000000000000000e+01,8.7600,"hr","ID"
"C-07079-05234","H-2A","04/03/07 15:50:00","Certified - Full","5/3/2007","11/1/2007","ELWYNN JANSONIUS","1142 W. LIMESTONE",,"PRAIRIE VIEW","KS","67664","HELEEN VAN TONDER/GOLDEN OPPORTUNITIES INT LLC","FARMWORKER, GRAIN I",2.0000000000000000e+00,2.0000000000000000e+00,4.8000000000000000e+01,9.5500,"hr","KS"
"C-07058-05002","H-2A","04/10/07 17:32:00","Denied","4/13/2007","11/15/2007","DOVE HAVEN RANCH","2589 CR 27",,"GEM","KS","67734","SOUTHERN IMPACT, LESLI DOWNS & KRIS GOSNEY","FARMWORKER, GENERAL I",1.0000000000000000e+01,,4.8000000000000000e+01,9.5500,"hr","KS"
"C-07079-05233","H-2A","04/03/07 15:36:00","Certified - Full","5/3/2007","11/1/2007","DIAMOND AG RESERCH, INC","855 K-19 HWY N",,"LARNED","KS","67550","ELAINE FLAMING","FARMWORKER GRAIN I",2.0000000000000000e+00,2.0000000000000000e+00,4.8000000000000000e+01,9.5500,"hr","KS"
"C-07099-05413","H-2A","04/24/07 11:21:00","Certified - Full","5/24/2007","12/20/2007","KEVIN CLARK","323 SOUTH 3RD",,"KIOWA","KS","67070","KEITH KREIN","FARM-MACHINE OPERATOR",8.0000000000000000e+00,8.0000000000000000e+00,4.8000000000000000e+01,9.5500,"hr","KS"
"C-07051-04915","H-2A","04/10/07 15:35:00","Certified - Full","5/6/2007","12/1/2007","JAMES AND SONS FARMING","RT 1 BOX 52",,"HUGOTON","KS","67751","ANGELA J. FERGUSON","FARM MACHINE OPERATOR",4.0000000000000000e+00,4.0000000000000000e+00,4.0000000000000000e+01,9.5500,"hr","KS"
"A-07071-03523","H-2A","04/10/07 10:37:00","Certified - Full","4/27/2007","2/27/2008","VALLARD GOODE","30 VALLARD GOODE ROAD",,"LIBERTY","KY","42539","VICKI BLACK","FIELD CROPS",3.0000000000000000e+01,3.0000000000000000e+01,4.0000000000000000e+01,8.6500,"hr","KY"
"A-07071-03522","H-2A","04/02/07 14:20:00","Certified - Full","5/1/2007","1/31/2008","DWIGHT FAULKNER","204 COMMERCE LANE",,"SOMERSET","KY","42501","VICKI BLACK","FARMWORKER; DIVERSIFIED",6.0000000000000000e+00,6.0000000000000000e+00,4.0000000000000000e+01,8.6500,"hr","KY"
"A-07103-03842","H-2A","04/30/07 07:58:00","Certified - Full","5/28/2007","12/28/2007","BUSH FARMS","15863 STATE ROUTE 93 SOUTH",,"PRINCETON","KY","42445","ILMC - STAN EURY","FARMWORKER: FIELD CROP",1.4000000000000000e+01,1.4000000000000000e+01,4.0000000000000000e+01,8.6500,"hr","KY"
"A-07079-03609","H-2A","04/20/07 14:50:00","Certified - Full","5/20/2007","1/1/2008","DAVID CHERRY","1923 ELMOS ROAD",,"WINGO","KY","42088","MELISSA A. GREEN","FARMWORKER, FIELD CROP",7.0000000000000000e+00,7.0000000000000000e+00,4.0000000000000000e+01,8.6500,"hr","KY"
"A-07081-03625","H-2A","04/12/07 16:38:00","Certified - Full","5/14/2007","12/15/2007","WILLIAM HAYDEN","7653 HWY 431",,"UTICA","KY","42376","DENISE L. BRASHEARS","FARMWORKER, FIELD CROP",1.4000000000000000e+01,1.4000000000000000e+01,4.0000000000000000e+01,8.6500,"hr","KY"
"A-07081-03625","H-2A","04/12/07 16:38:00","Certified - Full","5/14/2007","12/15/2007","KEVIN TRUNNELL","9211 HWY 431",,"UTICA","KY","42376",,"FARMWORKER, FIELD CROP",0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+01,8.6500,"hr","KY"
"A-07081-03625","H-2A","04/12/07 16:38:00","Certified - Full","5/14/2007","12/15/2007","ALLEN MURRAY","165 BRIARFIELD RD.",,"LIVERMORE","KY","42352",,"FARMWORKER, FIELD CROP",0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+01,8.6500,"hr","KY"
"A-07064-03420","H-2A","04/02/07 15:51:00","Certified - Full","4/25/2007","2/25/2008","MICHAEL WATKINS","3455 E. UNION ROAD",,"CARLISLE","KY","40311","MARY BONIFANT","FARMWORKER, FIELD CROP",5.0000000000000000e+00,5.0000000000000000e+00,4.0000000000000000e+01,8.6500,"hr","KY"
"A-07056-03324","H-2A","04/09/07 14:07:00","Denied","5/1/2007","1/31/2008","THOMAS B. CAVE","1830 KINDNESS ROAD",,"CAMPBELLSVILLE","KY","42718-8042",,"FARMWORKER, FIELD CROP",5.0000000000000000e+00,,4.0000000000000000e+01,8.6500,"hr","KY"
